time,liquid_volume,tank_volume,original_gravity,flowrate,original_brix,brix
2021-10-25 04:47:51.141,,,,,,
2021-10-25 04:47:52.792,56.0,100.0,1.02047032,0.10947,5.2,
2021-10-25 04:47:52.884,,,,,,5.1
2021-10-25 04:47:52.893,,,,,,5.1
2021-10-25 04:47:52.895,,,,,,
2021-10-25 04:47:54.644,,,,,,5.1
2021-10-25 04:47:54.652,,,,,,5.1
2021-10-25 04:47:54.653,,,,,,5.1
2021-10-25 04:47:54.665,,,,,,
2021-10-25 04:47:56.484,,,,,,5.1
2021-10-25 04:47:56.492,,,,,,5.1
2021-10-25 04:47:56.494,,,,,,
2021-10-25 04:47:58.212,,,,,,5.1
2021-10-25 04:47:58.220,,,,,,5.1
2021-10-25 04:47:58.223,,,,,,
2021-10-25 04:47:59.812,,,,,,5.1
2021-10-25 04:47:59.820,,,,,,5.1
2021-10-25 04:47:59.822,,,,,,
2021-10-25 04:48:01.404,,,,,,5.1
2021-10-25 04:48:01.412,,,,,,5.1
2021-10-25 04:48:01.414,,,,,,
2021-10-25 04:48:03.045,,,,,,5.1
2021-10-25 04:48:03.053,,,,,,5.1
2021-10-25 04:48:03.055,,,,,,
2021-10-25 04:48:04.803,,,,,,5.1
2021-10-25 04:48:04.811,,,,,,5.1
2021-10-25 04:48:04.812,,,,,,5.1
2021-10-25 04:48:04.814,,,,,,
2021-10-25 04:48:06.412,,,,,,5.1
2021-10-25 04:48:06.420,,,,,,5.1
2021-10-25 04:48:06.423,,,,,,
2021-10-25 04:48:07.124,56.0,100.0,1.02047032,0.10063688,5.2,
2021-10-25 04:48:08.164,,,,,,5.1
2021-10-25 04:48:08.172,,,,,,5.1
2021-10-25 04:48:08.173,,,,,,5.1
2021-10-25 04:48:08.175,,,,,,
2021-10-25 04:48:09.804,,,,,,5.1
2021-10-25 04:48:09.813,,,,,,5.1
2021-10-25 04:48:10.026,,,,,,
2021-10-25 04:48:11.564,,,,,,5.1
2021-10-25 04:48:11.573,,,,,,5.1
2021-10-25 04:48:11.575,,,,,,
2021-10-25 04:48:13.331,,,,,,5.1
2021-10-25 04:48:13.339,,,,,,5.1
2021-10-25 04:48:13.340,,,,,,5.1
2021-10-25 04:48:13.342,,,,,,
2021-10-25 04:48:15.092,,,,,,5.1
2021-10-25 04:48:15.100,,,,,,5.1
2021-10-25 04:48:15.103,,,,,,
2021-10-25 04:48:16.684,,,,,,5.1
2021-10-25 04:48:16.693,,,,,,5.1
2021-10-25 04:48:16.695,,,,,,
2021-10-25 04:48:18.405,,,,,,5.1
2021-10-25 04:48:18.412,,,,,,5.1
2021-10-25 04:48:18.413,,,,,,5.1
2021-10-25 04:48:18.415,,,,,,
2021-10-25 04:48:20.012,,,,,,5.1
2021-10-25 04:48:20.020,,,,,,5.1
2021-10-25 04:48:20.022,,,,,,
2021-10-25 04:48:21.443,56.0,100.0,1.02047032,0.10509875,5.2,
2021-10-25 04:48:21.624,,,,,,5.1
2021-10-25 04:48:21.632,,,,,,5.1
2021-10-25 04:48:21.636,,,,,,
2021-10-25 04:48:23.364,,,,,,5.1
2021-10-25 04:48:23.373,,,,,,5.1
2021-10-25 04:48:23.375,,,,,,
2021-10-25 04:48:25.145,,,,,,5.1
2021-10-25 04:48:25.153,,,,,,5.1
2021-10-25 04:48:25.155,,,,,,
2021-10-25 04:48:26.723,,,,,,5.1
2021-10-25 04:48:26.732,,,,,,5.1
2021-10-25 04:48:26.734,,,,,,
2021-10-25 04:48:28.404,,,,,,5.1
2021-10-25 04:48:28.412,,,,,,5.1
2021-10-25 04:48:28.413,,,,,,5.1
2021-10-25 04:48:28.415,,,,,,
2021-10-25 04:48:30.204,,,,,,5.1
2021-10-25 04:48:30.213,,,,,,5.1
2021-10-25 04:48:30.215,,,,,,
2021-10-25 04:48:31.973,,,,,,5.1
2021-10-25 04:48:31.981,,,,,,5.1
2021-10-25 04:48:31.983,,,,,,
2021-10-25 04:48:33.764,,,,,,5.1
2021-10-25 04:48:33.771,,,,,,5.1
2021-10-25 04:48:33.772,,,,,,5.1
2021-10-25 04:48:33.774,,,,,,
2021-10-25 04:48:35.364,,,,,,5.1
2021-10-25 04:48:35.372,,,,,,5.1
2021-10-25 04:48:35.375,,,,,,
2021-10-25 04:48:35.724,56.0,100.0,1.02047032,0.10600875,5.2,
2021-10-25 04:48:37.172,,,,,,5.1
2021-10-25 04:48:37.180,,,,,,5.1
2021-10-25 04:48:37.204,,,,,,
2021-10-25 04:48:38.765,,,,,,5.1
2021-10-25 04:48:38.773,,,,,,5.1
2021-10-25 04:48:38.775,,,,,,
2021-10-25 04:48:40.543,,,,,,5.1
2021-10-25 04:48:40.552,,,,,,5.1
2021-10-25 04:48:40.554,,,,,,
2021-10-25 04:48:42.284,,,,,,5.1
2021-10-25 04:48:42.292,,,,,,5.1
2021-10-25 04:48:42.293,,,,,,5.1
2021-10-25 04:48:42.296,,,,,,
2021-10-25 04:48:44.084,,,,,,5.1
2021-10-25 04:48:44.093,,,,,,5.1
2021-10-25 04:48:44.095,,,,,,
2021-10-25 04:48:45.812,,,,,,5.1
2021-10-25 04:48:45.821,,,,,,5.1
2021-10-25 04:48:45.823,,,,,,
2021-10-25 04:48:47.564,,,,,,5.1
2021-10-25 04:48:47.573,,,,,,5.1
2021-10-25 04:48:47.575,,,,,,
2021-10-25 04:48:49.325,,,,,,5.1
2021-10-25 04:48:49.341,,,,,,5.1
2021-10-25 04:48:49.343,,,,,,
2021-10-25 04:48:50.124,56.0,100.0,1.02047032,0.10012375,5.2,
2021-10-25 04:48:51.084,,,,,,5.1
2021-10-25 04:48:51.092,,,,,,5.1
2021-10-25 04:48:51.093,,,,,,5.1
2021-10-25 04:48:51.095,,,,,,
2021-10-25 04:48:52.852,,,,,,5.1
2021-10-25 04:48:52.868,,,,,,5.1
2021-10-25 04:48:52.869,,,,,,
2021-10-25 04:48:54.483,,,,,,5.1
2021-10-25 04:48:54.492,,,,,,5.1
2021-10-25 04:48:54.494,,,,,,
2021-10-25 04:48:56.104,,,,,,5.1
2021-10-25 04:48:56.112,,,,,,5.1
2021-10-25 04:48:56.115,,,,,,
2021-10-25 04:48:57.884,,,,,,5.1
2021-10-25 04:48:57.901,,,,,,5.1
2021-10-25 04:48:57.903,,,,,,
2021-10-25 04:48:59.524,,,,,,5.1
2021-10-25 04:48:59.533,,,,,,5.1
2021-10-25 04:48:59.535,,,,,,
2021-10-25 04:49:01.286,,,,,,5.1
2021-10-25 04:49:01.294,,,,,,5.1
2021-10-25 04:49:01.296,,,,,,
2021-10-25 04:49:03.044,,,,,,5.1
2021-10-25 04:49:03.060,,,,,,5.1
2021-10-25 04:49:03.063,,,,,,
2021-10-25 04:49:04.423,56.0,100.0,1.02047032,0.10746938,5.2,
2021-10-25 04:49:04.793,,,,,,5.1
2021-10-25 04:49:04.800,,,,,,5.1
2021-10-25 04:49:04.802,,,,,,
2021-10-25 04:49:06.444,,,,,,5.1
2021-10-25 04:49:06.452,,,,,,5.1
2021-10-25 04:49:06.458,,,,,,
2021-10-25 04:49:08.211,,,,,,5.1
2021-10-25 04:49:08.219,,,,,,5.1
2021-10-25 04:49:08.222,,,,,,
2021-10-25 04:49:09.804,,,,,,5.1
2021-10-25 04:49:09.812,,,,,,5.1
2021-10-25 04:49:09.816,,,,,,
2021-10-25 04:49:11.524,,,,,,5.1
2021-10-25 04:49:11.532,,,,,,5.1
2021-10-25 04:49:11.562,,,,,,
2021-10-25 04:49:13.124,,,,,,5.1
2021-10-25 04:49:13.132,,,,,,5.1
2021-10-25 04:49:13.134,,,,,,
2021-10-25 04:49:14.852,,,,,,5.1
2021-10-25 04:49:14.860,,,,,,5.1
2021-10-25 04:49:14.902,,,,,,
2021-10-25 04:49:16.444,,,,,,5.1
2021-10-25 04:49:16.453,,,,,,5.1
2021-10-25 04:49:16.455,,,,,,
2021-10-25 04:49:18.184,,,,,,5.1
2021-10-25 04:49:18.192,,,,,,5.1
2021-10-25 04:49:18.195,,,,,,
2021-10-25 04:49:18.724,56.0,100.0,1.02047032,0.11108312,5.2,
2021-10-25 04:49:19.964,,,,,,5.1
2021-10-25 04:49:19.973,,,,,,5.1
2021-10-25 04:49:19.975,,,,,,
2021-10-25 04:49:21.724,,,,,,5.1
2021-10-25 04:49:21.732,,,,,,5.1
2021-10-25 04:49:21.738,,,,,,
2021-10-25 04:49:23.443,,,,,,5.1
2021-10-25 04:49:23.451,,,,,,5.1
2021-10-25 04:49:23.452,,,,,,5.1
2021-10-25 04:49:23.456,,,,,,
2021-10-25 04:49:25.043,,,,,,5.1
2021-10-25 04:49:25.051,,,,,,5.1
2021-10-25 04:49:25.057,,,,,,
2021-10-25 04:49:26.824,,,,,,5.1
2021-10-25 04:49:26.832,,,,,,5.1
2021-10-25 04:49:26.834,,,,,,
2021-10-25 04:49:28.404,,,,,,5.1
2021-10-25 04:49:28.412,,,,,,5.1
2021-10-25 04:49:28.414,,,,,,
2021-10-25 04:49:30.085,,,,,,5.1
2021-10-25 04:49:30.093,,,,,,5.1
2021-10-25 04:49:30.096,,,,,,
2021-10-25 04:49:31.865,,,,,,5.1
2021-10-25 04:49:31.873,,,,,,5.1
2021-10-25 04:49:31.880,,,,,,
2021-10-25 04:49:33.024,56.0,100.0,1.02047032,0.1173,5.2,
2021-10-25 04:49:33.644,,,,,,5.1
2021-10-25 04:49:33.653,,,,,,5.1
2021-10-25 04:49:33.655,,,,,,
2021-10-25 04:49:35.385,,,,,,5.1
2021-10-25 04:49:35.393,,,,,,5.1
2021-10-25 04:49:35.395,,,,,,
2021-10-25 04:49:37.205,,,,,,5.1
2021-10-25 04:49:37.213,,,,,,5.1
2021-10-25 04:49:37.215,,,,,,
2021-10-25 04:49:38.812,,,,,,5.1
2021-10-25 04:49:38.821,,,,,,5.1
2021-10-25 04:49:38.823,,,,,,
2021-10-25 04:49:40.403,,,,,,5.1
2021-10-25 04:49:40.411,,,,,,5.1
2021-10-25 04:49:40.414,,,,,,
2021-10-25 04:49:42.252,,,,,,5.1
2021-10-25 04:49:42.261,,,,,,5.1
2021-10-25 04:49:42.263,,,,,,
2021-10-25 04:49:47.344,56.0,100.0,1.02047032,0.12229625,5.2,
2021-10-25 04:49:47.455,,,,,,
2021-10-25 04:50:01.584,56.0,100.0,1.02047032,0.12986125,5.2,
2021-10-25 04:50:15.864,56.0,100.0,1.02047032,0.13869688,5.2,
2021-10-25 04:50:30.264,56.0,100.0,1.02047032,0.14383188,5.2,
2021-10-25 04:50:44.584,56.0,100.0,1.02047032,0.1518875,5.2,
2021-10-25 04:50:46.563,,,,,,5.1
2021-10-25 04:50:46.571,,,,,,5.1
2021-10-25 04:50:46.572,,,,,,5.1
2021-10-25 04:50:46.574,,,,,,
2021-10-25 04:50:48.324,,,,,,5.1
2021-10-25 04:50:48.334,,,,,,5.1
2021-10-25 04:50:48.335,,,,,,5.1
2021-10-25 04:50:48.337,,,,,,
2021-10-25 04:50:50.124,,,,,,5.1
2021-10-25 04:50:50.132,,,,,,5.1
2021-10-25 04:50:50.133,,,,,,5.1
2021-10-25 04:50:50.135,,,,,,
2021-10-25 04:50:51.924,,,,,,5.1
2021-10-25 04:50:51.932,,,,,,5.1
2021-10-25 04:50:51.935,,,,,,
2021-10-25 04:50:53.644,,,,,,5.1
2021-10-25 04:50:53.652,,,,,,5.1
2021-10-25 04:50:53.654,,,,,,
2021-10-25 04:50:55.371,,,,,,5.1
2021-10-25 04:50:55.379,,,,,,5.1
2021-10-25 04:50:55.380,,,,,,
2021-10-25 04:50:57.123,,,,,,5.1
2021-10-25 04:50:57.131,,,,,,5.1
2021-10-25 04:50:57.132,,,,,,5.1
2021-10-25 04:50:57.148,,,,,,5.1
2021-10-25 04:50:57.150,,,,,,
2021-10-25 04:50:58.872,56.0,100.0,1.02047032,0.1566575,5.2,
2021-10-25 04:50:58.889,,,,,,5.1
2021-10-25 04:50:58.901,,,,,,
2021-10-25 04:51:11.451,,,,,,
2021-10-25 04:51:13.123,56.0,100.0,1.02047032,0.15567563,5.2,
2021-10-25 04:51:27.485,56.0,100.0,1.02047032,0.15588125,5.2,
2021-10-25 04:51:41.843,56.0,100.0,1.02047032,0.15443563,5.2,
2021-10-25 04:51:56.044,56.0,100.0,1.02047032,0.16061437,5.2,
2021-10-25 04:52:03.123,,,,,,5.1
2021-10-25 04:52:03.131,,,,,,5.1
2021-10-25 04:52:03.132,,,,,,5.1
2021-10-25 04:52:03.134,,,,,,
2021-10-25 04:52:04.904,,,,,,5.1
2021-10-25 04:52:04.920,,,,,,5.1
2021-10-25 04:52:04.921,,,,,,5.1
2021-10-25 04:52:04.924,,,,,,
2021-10-25 04:52:06.644,,,,,,5.1
2021-10-25 04:52:06.652,,,,,,5.1
2021-10-25 04:52:06.653,,,,,,
2021-10-25 04:52:08.364,,,,,,5.1
2021-10-25 04:52:08.373,,,,,,5.1
2021-10-25 04:52:08.375,,,,,,
2021-10-25 04:52:10.272,56.0,100.0,1.02047032,0.15987813,5.2,
2021-10-25 04:52:24.565,56.0,100.0,1.02047032,0.16676375,5.2,
2021-10-25 04:52:38.829,56.0,100.0,1.02047032,0.16792875,5.2,
2021-10-25 04:52:45.321,,,,,,
2021-10-25 04:52:53.043,56.0,100.0,1.02047032,0.16771188,5.2,
2021-10-25 04:53:07.292,56.0,100.0,1.02047032,0.16769812,5.2,
2021-10-25 04:53:12.644,,,,,,5.1
2021-10-25 04:53:12.652,,,,,,5.1
2021-10-25 04:53:12.653,,,,,,5.1
2021-10-25 04:53:12.656,,,,,,
2021-10-25 04:53:14.405,,,,,,5.1
2021-10-25 04:53:14.413,,,,,,5.1
2021-10-25 04:53:14.414,,,,,,5.1
2021-10-25 04:53:14.417,,,,,,
2021-10-25 04:53:16.164,,,,,,5.1
2021-10-25 04:53:16.172,,,,,,5.1
2021-10-25 04:53:16.175,,,,,,
2021-10-25 04:53:17.764,,,,,,5.1
2021-10-25 04:53:17.772,,,,,,5.1
2021-10-25 04:53:17.773,,,,,,5.1
2021-10-25 04:53:17.775,,,,,,
2021-10-25 04:53:19.564,,,,,,5.1
2021-10-25 04:53:19.573,,,,,,5.1
2021-10-25 04:53:19.575,,,,,,
2021-10-25 04:53:21.333,,,,,,5.1
2021-10-25 04:53:21.341,,,,,,5.1
2021-10-25 04:53:21.343,,,,,,
2021-10-25 04:53:21.544,56.0,100.0,1.02047032,0.16764563,5.2,
2021-10-25 04:53:23.084,,,,,,5.1
2021-10-25 04:53:23.092,,,,,,5.1
2021-10-25 04:53:23.093,,,,,,
2021-10-25 04:53:24.845,,,,,,5.1
2021-10-25 04:53:24.853,,,,,,5.1
2021-10-25 04:53:24.855,,,,,,
2021-10-25 04:53:26.444,,,,,,5.1
2021-10-25 04:53:26.452,,,,,,5.1
2021-10-25 04:53:26.614,,,,,,
2021-10-25 04:53:28.204,,,,,,5.1
2021-10-25 04:53:28.212,,,,,,5.1
2021-10-25 04:53:28.215,,,,,,
2021-10-25 04:53:29.953,,,,,,5.1
2021-10-25 04:53:29.970,,,,,,
2021-10-25 04:53:31.584,,,,,,5.1
2021-10-25 04:53:31.592,,,,,,5.1
2021-10-25 04:53:31.594,,,,,,
2021-10-25 04:53:35.963,56.0,100.0,1.02047032,0.171085,5.2,
2021-10-25 04:53:50.284,56.0,100.0,1.02047032,0.16802875,5.2,
2021-10-25 04:54:04.484,56.0,100.0,1.02047032,0.16514062,5.2,
2021-10-25 04:54:18.865,56.0,100.0,1.02047032,0.1635075,5.2,
2021-10-25 04:54:33.212,56.0,100.0,1.02047032,0.1720325,5.2,
2021-10-25 04:54:35.764,,,,,,5.1
2021-10-25 04:54:35.772,,,,,,5.1
2021-10-25 04:54:35.773,,,,,,5.1
2021-10-25 04:54:35.774,,,,,,5.1
2021-10-25 04:54:35.776,,,,,,
2021-10-25 04:54:37.563,,,,,,5.1
2021-10-25 04:54:37.571,,,,,,5.1
2021-10-25 04:54:37.572,,,,,,5.1
2021-10-25 04:54:37.573,,,,,,5.1
2021-10-25 04:54:37.575,,,,,,
2021-10-25 04:54:39.364,,,,,,5.1
2021-10-25 04:54:39.372,,,,,,5.1
2021-10-25 04:54:39.382,,,,,,
2021-10-25 04:54:41.084,,,,,,5.1
2021-10-25 04:54:41.092,,,,,,5.1
2021-10-25 04:54:41.093,,,,,,
2021-10-25 04:54:47.483,56.0,100.0,1.02047032,0.17002625,5.2,
2021-10-25 04:55:01.804,56.0,100.0,1.02047032,0.16818063,5.2,
2021-10-25 04:55:16.084,56.0,100.0,1.02047032,0.1670275,5.2,
2021-10-25 04:55:30.324,56.0,100.0,1.02047032,0.16485813,5.2,
2021-10-25 04:55:44.524,56.0,100.0,1.02047032,0.16843438,5.2,
2021-10-25 04:55:45.323,,,,,,5.1
2021-10-25 04:55:45.331,,,,,,5.1
2021-10-25 04:55:45.332,,,,,,5.1
2021-10-25 04:55:45.353,,,,,,
2021-10-25 04:55:47.123,,,,,,5.1
2021-10-25 04:55:47.132,,,,,,5.1
2021-10-25 04:55:47.150,,,,,,
2021-10-25 04:55:48.883,,,,,,5.1
2021-10-25 04:55:48.892,,,,,,5.1
2021-10-25 04:55:48.894,,,,,,
2021-10-25 04:55:50.684,,,,,,5.1
2021-10-25 04:55:50.692,,,,,,5.1
2021-10-25 04:55:50.694,,,,,,
2021-10-25 04:55:52.452,,,,,,5.1
2021-10-25 04:55:52.454,,,,,,
2021-10-25 04:55:54.024,,,,,,5.1
2021-10-25 04:55:54.033,,,,,,5.1
2021-10-25 04:55:54.049,,,,,,5.1
2021-10-25 04:55:54.051,,,,,,
2021-10-25 04:55:55.812,,,,,,5.1
2021-10-25 04:55:55.820,,,,,,5.1
2021-10-25 04:55:55.821,,,,,,5.1
2021-10-25 04:55:55.823,,,,,,
2021-10-25 04:55:57.564,,,,,,5.1
2021-10-25 04:55:57.572,,,,,,5.1
2021-10-25 04:55:57.574,,,,,,
2021-10-25 04:55:58.864,56.0,100.0,1.02047032,0.16519875,5.2,
2021-10-25 04:55:59.204,,,,,,5.1
2021-10-25 04:55:59.220,,,,,,5.1
2021-10-25 04:55:59.223,,,,,,
2021-10-25 04:56:00.964,,,,,,5.1
2021-10-25 04:56:00.972,,,,,,5.1
2021-10-25 04:56:00.974,,,,,,
2021-10-25 04:56:02.684,,,,,,5.1
2021-10-25 04:56:02.692,,,,,,5.1
2021-10-25 04:56:02.695,,,,,,
2021-10-25 04:56:04.523,,,,,,5.1
2021-10-25 04:56:04.532,,,,,,5.1
2021-10-25 04:56:04.534,,,,,,
2021-10-25 04:56:06.285,,,,,,5.1
2021-10-25 04:56:06.293,,,,,,5.1
2021-10-25 04:56:06.296,,,,,,
2021-10-25 04:56:08.084,,,,,,5.1
2021-10-25 04:56:08.092,,,,,,5.1
2021-10-25 04:56:08.094,,,,,,
2021-10-25 04:56:09.924,,,,,,5.1
2021-10-25 04:56:09.932,,,,,,5.1
2021-10-25 04:56:09.933,,,,,,5.1
2021-10-25 04:56:09.935,,,,,,
2021-10-25 04:56:11.692,,,,,,5.1
2021-10-25 04:56:11.700,,,,,,5.1
2021-10-25 04:56:11.701,,,,,,
